Ім'я,Варіанти
Августа,Густа
Аврелія,Аурелія Аурика
Аврора,
Агафія,Агапія, Гафія, Гапка
Агата, Аґата
Агафоника,
Аглая,Аглаїда
Агнеса,Агнія Агна

Агрипина,Горпина, Груня
Ада,
Аделаїда,Аделя, Адиля
Аделіна,Аделя, Адиля, Адель
Адріана,Андріана, Адріанна
Аеліта
Аза
Азалія
Аїда
Акилина,Килина Кулина Якилина
Алевтина,Ала, Аля, Тіна
Аліна,Ліна
Аліса,
Алла,
Альбертина,Альбертіна
Альбіна,Альвіна
Альона,
Альфреда,
Анастасія,Настасія Настя Наста Настка
Анатолія,Анатоля
Ангеліна,Ангела
Анжела,Ангела
Анжеліка,Ангеліка Анжеліна
Анна,"Ганна, Анничка, Анка"
Антонида,Антоніда
Антоніна,Тоня
Антонія,Тоня
Анфіса,Анфиса
Аполлінарія,
Аполлонія,
Аріадна,
Аркадія,
Арсена,Арсенія
Артемізія,Артемісія Артеміса Артеміза Артемія
Аскліпія,Асклепія
Ася,
Аурика,Аурелія Аврелія
Афанасія,
Афіна,Атена
Афродіта,Афродита
Бажана,
Беатриса,Беата
Белла,
Берта,
Богдана,Дана
Богуслава,Слава
Божена,
Болеслава,
Борислава,
Броніслава,
Валентина,
Валерія,Лера,Лєра, Леруня, Леруся, Леруша, Лерочка
Ванда,
Варвара,Барбара
Василина,
Васса,
Векла,Фекла Текля
Венера,
Вероніка,
Вікторина,
Вікторія,Віка
Вілена,Олена
Віола,Віоланта
Віолетта,Віола
Віра,
Віргінія,
Віринея,
Віта,Віталія
Віталіна,
Віталія,Віта
Влада,
Владислава,Слава
Власта,
Володимира,
Воля,
Всеслава,
В'ячеслава,
Гаїна,
Галина,Галка Галя
Ганна,Анна
Гафія,Агафія 
Гелена,Гелина
Георгіна
Гертруда,Герта, Ґертруда
Глафіра,Глафира Глафа Фіра
Гликерія,Ликерія Ликера Лукера
Горпина,Агриппина, Аґриппина
Густава,Густа, Ґустава
Дана,
Дарина,Одарина Одарка, Даріня
Дарія,Одарка Дарина Дарка, Дарья, Дар'я
Дзвенислава,Дзвінка Звенислава
Діана,
Діна, 
Домаха,Домна
Домініка,
Донна,
Дорофея,Доротея Дорофія
Евеліна,
Едіта,Едита
Елеонора,
Елла,
Ельвіна,Альбіна
Ельвіра,
Емма,
Еммануїла,Еммануель Еммануела
Емілія,Еміля
Еріка,
Есмеральда,
Есфір,Естер Фіра
Єва,
Євгенія,Євгена Югина Ївга
Євдокія,Докія Явдоха
Євфросинія,Єфросинія Фросина, Фрося Пріся, Пріська
Єлизавета,Лизавета Лисавета Гальшка Галшка
Єпистимія,Єпистима Пистина
Жадана,Ждана
Жанна,Іоанна Іванна
Жозефіна,Жозефа
Звенислава,Дзвенислава
Звонимира,
Земфіра,
Зірка,Зіра
Зінаїда,
Злата,
Зореслава,
Зоряна,Зоря
Зоя,
Іванна,Іванка
Ігорина,
Ілона,
Інга,Інна
Інна,Інка
Інеса,
Ірина,Ірена Орина Орися
Ірма,
Іларія,
Ісидора,
Ія,
Ївга,Євгенія Югина
Йосипа,Осипа Йосифата
Казимира,
Калина,Акилина
Камілла,
Капітоліна,Капитолина Капитоліна
Карина,
Кароліна,
Кассандра,
Катерина,Катря Катруся Катя Кася
Квітка,Квіткослава
Кикилія,Цецилія
Килина,
Кіра,
Клавдія,
Клара,
Клеопатра,Клепа Клена
Констанція,Костка
Корина,Кора
Корнелія,
Ксенія,Ксеня Оксана
Лада,
Лариса,
Леля,
Леся,Олеся
Либідь,
Лідія,
Лілія,Лілея
Ліна,
Лоліта,Лола
Лукія,Лукина
Лукреція,Лука
Любов,
Любомира,
Людмила,Люда
Мавка,
Магдалина,Магдалена Магда
Мая,Майя
Малуша,Малка
Мальва,
Мальвіна,
Маргарита, Рита, Мара
Марта,Марфа
Марія,Марічка, Марійка, Маруся, Марися
Марічка,
Марина,
Мартина,Мартіна
Мар'яна,Маріанна Маріамна
Меланія,Меланка, Маланка, Мелашка, Малашка, Мелана, Малана
Мелітина,
Мечислава,
Милана,
Мирослава,Міра Слава
Михайлина,
Млада,
Мокрина,Макрина
Моніка,
Мотрона,Матрона Мотря
Мстислава,
Надія,
Настасія,Анастасія Наста Настка Ната Нася, Анастасья
Наталія,Наталка, Наталя, Наталена
Неля,
Ніка,
Ніна,
Нінель,
Нонна,
Одарка,Дарка
Оксана,Ксеня
Октавія,Тава
Олександра,Сандра Санда
Олена,Вілена Лена Ліна
Олеся,
Олівія,Оля
Олімпіада,Олімпія
Ольга,Хельга Оля Леся
Ореста,
Орина,
Орися,Оришка
Павла,Пава
Павлина,Павла Пава
Пелагія,Пелагея Палагна Палазга Палажка Пазина
Параскева,Параскевія Парасковія Параска
Пистина,
Поліна,Павлина Аполлінарія
Пріська,Єфросинія
Пульхерія,Пульхера
Рада,
Радмила,
Радогоста,
Радомира,Радимира
Радослава,
Раїна,
Раїса,Рая
Ракель,Рахіль Рахель
Ревека,Ребекка
Регіна,
Рената,
Римма,
